"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2010.01 ¿ù","2010.02 ¿ù","2010.03 ¿ù","2010.04 ¿ù","2010.05 ¿ù","2010.06 ¿ù","2010.07 ¿ù","2010.08 ¿ù","2010.09 ¿ù","2010.10 ¿ù","2010.11 ¿ù","2010.12 ¿ù","2011.01 ¿ù","2011.02 ¿ù","2011.03 ¿ù","2011.04 ¿ù","2011.05 ¿ù","2011.06 ¿ù","2011.07 ¿ù","2011.08 ¿ù","2011.09 ¿ù","2011.10 ¿ù","2011.11 ¿ù","2011.12 ¿ù","2012.01 ¿ù","2012.02 ¿ù","2012.03 ¿ù","2012.04 ¿ù","2012.05 ¿ù","2012.06 ¿ù","2012.07 ¿ù","2012.08 ¿ù","2012.09 ¿ù","2012.10 ¿ù","2012.11 ¿ù","2012.12 ¿ù","2013.01 ¿ù","2013.02 ¿ù","2013.03 ¿ù","2013.04 ¿ù","2013.05 ¿ù","2013.06 ¿ù","2013.07 ¿ù","2013.08 ¿ù","2013.09 ¿ù","2013.10 ¿ù","2013.11 ¿ù","2013.12 ¿ù","2014.01 ¿ù","2014.02 ¿ù","2014.03 ¿ù","2014.04 ¿ù","2014.05 ¿ù","2014.06 ¿ù","2014.07 ¿ù","2014.08 ¿ù","2014.09 ¿ù","2014.10 ¿ù","2014.11 ¿ù","2014.12 ¿ù","2015.01 ¿ù","2015.02 ¿ù","2015.03 ¿ù","2015.04 ¿ù","2015.05 ¿ù","2015.06 ¿ù","2015.07 ¿ù","2015.08 ¿ù","2015.09 ¿ù","2015.10 ¿ù","2015.11 ¿ù","2015.12 ¿ù","2016.01 ¿ù","2016.02 ¿ù","2016.03 ¿ù","2016.04 ¿ù","2016.05 ¿ù","2016.06 ¿ù","2016.07 ¿ù","2016.08 ¿ù","2016.09 ¿ù","2016.10 ¿ù","2016.11 ¿ù","2016.12 ¿ù","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù","2021.11 ¿ù","2021.12 ¿ù","2022.01 ¿ù","2022.02 ¿ù","2022.03 ¿ù","2022.04 ¿ù","2022.05 ¿ù","2022.06 ¿ù","2022.07 ¿ù","2022.08 ¿ù","2022.09 ¿ù","2022.10 ¿ù","2022.11 ¿ù","2022.12 ¿ù","2023.01 ¿ù","2023.02 ¿ù",
"¼º³²","¿ùÆò±Õ","",".01",".015",".022",".023",".029",".029",".022",".017",".015",".013",".013",".009",".011",".012",".025",".029",".03",".035",".02",".021",".022",".014",".013",".01",".01",".015",".025",".028",".034",".037",".024",".024",".02",".016",".012",".01",".011",".015",".021",".031",".035",".034",".024",".025",".02",".015",".011",".008",".008",".015",".024",".027",".039",".034",".031",".024",".021",".016",".012",".01",".01",".016",".02",".026",".032",".037",".027",".027",".023",".016",".011",".008",".011",".016",".021",".029",".039",".034",".024",".029",".025",".016",".013",".009",".041",".016",".043",".032",".035",".037",".024",".02",".024",".016",".013",".011",".012",".018",".027",".034",".036",".038",".026",".028",".024",".015",".01",".011",".011",".017",".028",".03",".045",".04",".032",".029",".021",".018",".011",".01",".013",".017",".027",".038",".035",".047",".03",".02",".027",".02",".014",".014",".015",".023",".026",".038",".036",".042",".036",".033",".031",".022",".017",".013",".014",".026",".028",".042",".046",".038",".037",".031",".031",".022",".017",".014",".0166",".0217",
"ÀÇÁ¤ºÎ","¿ùÆò±Õ","",".013",".017",".026",".031",".035",".039",".024",".02",".017",".016",".013",".011",".016",".017",".032",".034",".034",".038",".02",".02",".026",".017",".013",".012",".013",".018",".026",".029",".037",".039",".022",".022",".019",".016",".012",".012",".012",".019",".028",".034",".038",".039",".024",".026",".02",".015",".013",".009",".012",".019",".028",".033",".044",".037",".034",".027",".025",".016",".012",".012",".013",".019",".025",".033",".042",".048",".034",".033",".025",".02",".012",".009",".013",".019",".026",".033",".043",".04",".027",".029",".026",".018",".013",".01",".032",".019",".032",".037",".043",".045",".033",".026",".022",".014",".011",".012",".018",".029",".036",".046",".043",".044",".026",".032",".029",".017",".012",".013",".014",".022",".031",".038",".052",".044",".036",".032",".023",".02",".013",".012",".014",".02",".03",".041",".041",".046",".032",".021",".026",".021",".013",".012",".013",".021",".031",".042",".04",".044",".039",".033",".029",".02",".017",".014",".017",".028",".03",".043",".049",".038",".034",".029",".025",".019",".015",".014",".0138",".017",
"±¤¸í","¿ùÆò±Õ","",".011",".015",".022",".024",".03",".032",".024",".019",".015",".014",".014",".011",".016",".015",".03",".032",".031",".035",".02",".021",".022",".014",".013",".011",".013",".017",".028",".032",".039",".04",".024",".026",".022",".019",".014",".011",".013",".018",".025",".034",".037",".033",".028",".029",".023",".016",".013",".01",".011",".015",".028",".031",".045",".039",".036",".025",".023",".017",".013",".012",".012",".019",".024",".03",".037",".041",".03",".031",".026",".02",".012",".01",".015",".02",".027",".032",".042",".039",".028",".031",".027",".017",".014",".01",".033",".019",".037",".036",".04",".04",".031",".024",".027",".019",".014",".012",".014",".019",".027",".031",".035",".035",".023",".03",".026",".017",".011",".012",".012",".018",".028",".029",".046",".038",".036",".038",".026",".023",".014",".013",".015",".021",".031",".041",".039",".05",".032",".022",".029",".022",".016",".016",".015",".024",".026",".038",".039",".043",".04",".034",".032",".023",".017",".015",".018",".028",".029",".045",".05",".04",".04",".033",".034",".025",".018",".016",".017",".0218",
"¾È»ê","¿ùÆò±Õ","",".012",".018",".026",".03",".037",".036",".027",".021",".019",".017",".017",".012",".016",".016",".029",".033",".032",".036",".022",".024",".024",".018",".014",".012",".014",".018",".028",".034",".039",".036",".022",".024",".023",".019",".014",".011",".013",".019",".026",".036",".038",".035",".027",".029",".023",".019","0.013*",".012",".012",".016",".029",".032",".045",".04",".037",".031",".026",".02",".015",".013",".013",".021",".025",".031",".038",".042",".033",".033",".028",".022",".013",".01",".015",".02",".025",".03",".038",".039",".027",".03",".03",".019",".016",".011",".035",".021",".035",".036",".039",".04",".03",".026",".028",".021",".016",".013",".014",".02",".029",".034",".038",".038",".023",".03",".028",".02",".013",".014",".015",".02",".032",".032",".046",".039",".032",".034",".025",".022",".015",".013",".016",".021",".03",".039",".037",".043",".034","0.02*","0.030*",".023",".017",".016",".016",".024",".029",".04",".041",".044",".039",".033",".03",".023",".019",".015",".016",".026",".027",".041",".048",".036",".036",".029",".032",".023",".019",".015",".0169",".021",
"ÆòÅÃ","¿ùÆò±Õ","",".012",".015",".024",".031",".039",".039",".025",".021",".02",".017",".015",".011",".014",".017",".029",".032",".036",".041",".023",".025",".024",".018",".015",".011",".011",".015",".027",".036",".045",".043",".027",".028",".024",".018",".015",".012",".013",".021",".028",".037",".041",".037",".026",".032",".022",".018",".014",".011",".011",".016",".024",".028",".039",".034",".027",".025",".026",".019",".014",".012",".014",".022",".024",".029",".036",".041",".032",".034",".031",".027",".015",".011",".016",".021",".027",".032",".047",".045",".032",".035",".032",".019",".015",".012",".028",".023",".028",".034",".043",".049",".034",".027",".03",".022",".018",".014",".016",".023",".034","0.036*","0.037*",".037",".025",".028",".026",".02",".014",".014",".015",".021",".032",".032",".05",".045",".038",".039",".028",".022",".016",".014",".017",".022",".033",".044",".043",".048",".034",".024",".03",".024",".017",".016",".017",".026",".031",".043",".043",".047",".038",".035",".032",".024",".02",".015",".017",".028",".03",".043",".051",".04",".041",".032",".034",".027",".02",".015",".0178",".0222",
"°úÃµ","¿ùÆò±Õ","",".01",".013",".021",".026",".031",".03",".023",".017",".015",".015",".015",".012",".015",".014",".028",".03",".029",".034",".02",".018",".02",".014",".012",".011",".012",".017",".026",".028",".032",".036",".021",".022",".019",".017",".014",".012",".012",".018",".023",".031",".034",".033",".026",".025",".02",".016",".013",".01",".01",".015",".025",".028",".042",".034",".031",".022",".019",".016",".013",".013",".012",".017",".022",".027",".033",".036",".027",".027",".021",".018",".011",".009",".014",".019",".024",".031",".038",".036",".024",".027",".022",".015",".013",".009",".035",".018",".037",".033",".036",".037",".025",".02",".022",".016",".013",".011",".013",".017",".024",".029",".032",".032",".022",".025",".021",".015",".009",".011",".011",".016",".027",".028",".044",".038",".03",".032",".021",".018",".012",".011",".013",".018",".028",".04",".036",".048",".031",".02",".028",".021",".016",".015",".017",".024",".027",".039",".037",".041",".034",".029",".028",".02",".017",".014",".015",".028","0.029**","0.041*",".043",".034",".036",".029",".029",".021",".016",".015",".0162",".0208",
"±¸¸®","¿ùÆò±Õ","",".009",".014",".022",".023",".028",".028",".02",".015",".013",".013",".012",".01",".013",".014",".026",".027",".026",".031",".016",".017",".02",".014",".013",".011",".014",".019",".025",".028",".036",".038",".018",".021",".016",".017",".013",".012",".016",".023",".027",".035",".04",".035",".024",".029",".024",".021",".016",".01",".012",".021",".029",".034",".045",".042",".037",".028",".025",".019",".016",".015",".014",".02",".026",".033",".04",".045",".034",".033",".025","0.017*",".015",".011",".014",".02",".026",".034",".042",".041",".03",".033",".025",".018",".014",".011",".032",".02",".035",".036",".039",".041",".03",".025",".024",".019",".015",".012",".015",".021",".026",".034",".036",".037",".026",".03",".023",".016",".011",".011",".012",".018",".027",".031",".046","0.040*",".036",".032",".024",".021",".013",".012",".016",".021",".031",".038",".037",".046",".03",".022",".028",".022",".017",".015",".016",".025",".028",".035",".035",".041",".039",".032",".029",".022",".017",".014",".015",".026",".025",".038",".043",".035",".031",".031",".026",".019",".017",".013",".0134",".0186",
"ÀÇ¿Õ","¿ùÆò±Õ","",".01",".013",".021",".022",".029",".029",".022",".017",".015",".013",".013",".009",".011",".012",".022",".027",".027",".033",".019",".019",".02",".013",".013",".01",".011",".014",".024",".027",".031",".036",".022",".024",".019",".015",".012",".012",".013",".016",".022",".03",".034",".032",".021",".021",".018",".014",".011",".008",".009",".013",".021",".026",".036",".035",".031",".024",".02",".016",".011",".011",".01",".016",".02",".025",".031",".037",".027",".025",".022",".015","0.012**",".007",".011",".014",".022",".03",".037",".036",".025",".029",".024",".015",".012",".008",".037",".015",".045",".029",".032",".035",".026",".022",".022",".016",".011",".009",".01",".014",".025",".029",".033",".032",".023",".028",".024",".015",".009",".01",".01",".014",".023",".028",".042",".04",".033",".032",".023",".02",".013",".009",".011",".017",".025",".039",".04",".047",".032",".023",".03",".023",".017",".014",".016",".024",".027","0.040**",".037",".041",".037",".031",".029",".023",".017",".013",".015",".026",".027",".043",".05",".037",".037",".029",".032",".023",".017",".014",".0157",".0201",
"°í¾ç","¿ùÆò±Õ","",".012",".015",".021",".023",".027",".033",".023",".02",".016",".016",".013",".01",".013",".013",".024",".025",".027",".029",".018",".018",".022",".017",".014",".012",".013",".017",".023",".03",".046",".047",".03",".032",".027",".023",".017",".015",".015",".02",".023","0.028*",".037",".039",".027",".029",".023",".019",".014",".012",".012",".021",".027",".03",".036",".035",".036",".028",".024",".019",".016",".015",".015",".02",".023",".029",".038",".042",".037",".035",".028",".024",".016",".012",".017",".021",".026",".03",".04",".038",".027",".031",".031",".021",".017",".012",".026",".022",".028",".035",".039",".04",".031",".028",".03",".023",".016",".013",".016",".021",".026",".03",".035",".037",".023",".031",".028",".02",".014",".014",".015",".022",".032",".035",".048",".044",".037",".034",".027",".025",".016",".015",".019",".023",".031",".04",".04",".047",".034",".029",".031",".027",".018",".016",".016",".024",".031",".042",".041",".045",".04",".033","0.029*",".022",".018",".014",".018",".027",".03",".041",".047",".036",".038",".033",".031",".023",".019",".017",".0176",".0259",
"±¤ÁÖ","¿ùÆò±Õ","",".01",".014",".024",".026",".033",".035",".025",".02",".016",".014",".011",".008",".009",".011",".021",".028",".03",".037",".022",".021",".023",".014",".013",".01",".01",".013",".024",".026",".032",".039",".027",".025",".022",".016",".013",".011",".011",".016",".021",".029",".033",".034",".025",".025",".023",".018",".012",".008",".008",".016",".021",".027",".036",".034",".032",".027",".021",".018",".011",".011",".01",".014",".019",".025",".031",".037",".029",".028",".02",".014",".012",".009",".011",".015",".021",".033",".036",".036",".024",".029",".023",".014",".01",".009",".041",".016",".042",".033",".036",".039",".025","0.022**",".017",".013",".008",".006",".007",".011",".02",".026",".032",".033",".025",".029",".021",".013",".007",".008",".008",".012",".022",".027",".044",".041",".034",".032",".021",".016",".009",".006",".01",".016",".024",".036",".036",".048",".031",".021",".027",".018",".014",".012",".014",".021",".027",".036",".034",".038",".032",".03",".027",".019",".016",".013",".013",".027",".028",".044",".05",".039",".035",".029",".026",".02",".015",".013",".0148",".0197",
