Unnamed: 0,ID,광역시도,시군구,격자 X,격자 Y,y,x,측정소명
55,인천 계양,인천광역시,계양구,56,126,7,2,계산
56,인천 서구,인천광역시,서구,55,126,6,1,검단
57,인천 강화,인천광역시,강화군,51,130,5,1,길상
58,인천 옹진,인천광역시,옹진군,54,124,10,0,영흥
59,광주 동구,광주광역시,동구,60,74,23,3,서석동
60,광주 서구,광주광역시,서구,59,74,22,2,농성동
61,광주 남구,광주광역시,남구,59,73,23,2,노대동
62,광주 북구,광주광역시,북구,59,75,22,3,건국동
63,광주 광산,광주광역시,광산구,57,74,21,2,오선동
64,대전 동구,대전광역시,동구,68,100,14,5,대성동
65,대전 중구,대전광역시,중구,68,100,15,5,문창동
66,대전 서구,대전광역시,서구,67,100,16,4,둔산동
67,대전 유성,대전광역시,유성구,67,101,15,4,관평동
68,대전 대덕,대전광역시,대덕구,68,100,13,5,문평동
69,울산 중구,울산광역시,중구,102,84,15,11,성남동
70,울산 남구,울산광역시,남구,102,84,15,12,무거동
71,울산 동구,울산광역시,동구,104,83,14,12,대송동
72,울산 북구,울산광역시,북구,103,85,13,12,농소동
73,울산 울주,울산광역시,울주군,101,84,14,11,덕신리
74,세종,세종특별자치시,세종특별자치시,66,103,13,4,부강면
75,수원 장안,경기도,수원시장안구,60,121,10,6,천천동
76,수원 권선,경기도,수원시권선구,60,120,9,6,고색동
77,수원 팔달,경기도,수원시팔달구,61,121,10,5,신풍동
78,수원 영통,경기도,수원시영통구,61,120,9,7,광교동
79,성남 수정,경기도,성남시수정구,63,124,8,8,단대동
80,성남 중원,경기도,성남시중원구,63,124,7,8,상대원동
81,성남 분당,경기도,성남시분당구,62,123,8,7,수내동
82,의정부,경기도,의정부시,61,130,1,7,송산3동
83,안양 만안,경기도,안양시만안구,59,123,5,3,안양2동
84,안양 동안,경기도,안양시동안구,59,123,6,3,부림동
85,부천,경기도,부천시,56,125,5,2,내동
86,광명,경기도,광명시,58,125,4,3,소하동
87,평택,경기도,평택시,62,114,11,4,고덕동
88,동두천,경기도,동두천시,61,134,1,4,보산동
89,안산 상록,경기도,안산시상록구,58,121,8,3,본오동
90,안산 단원,경기도,안산시단원구,57,121,9,3,고잔동
91,고양 덕양,경기도,고양시덕양구,57,128,3,4,신원동
92,고양 일산동,경기도,고양시일산동구,56,129,2,4,식사동
93,고양 일산서,경기도,고양시일산서구,56,129,3,3,주엽동
94,과천,경기도,과천시,60,124,8,6,별양동
95,구리,경기도,구리시,62,127,3,8,교문동
96,남양주,경기도,남양주시,64,128,2,7,금곡동
97,오산,경기도,오산시,62,118,10,4,오산동
98,시흥,경기도,시흥시,57,123,7,3,대야동
99,군포,경기도,군포시,59,122,9,4,당동
100,의왕,경기도,의왕시,60,122,9,5,고천동
101,하남,경기도,하남시,64,126,6,9,미사
102,용인 처인,경기도,용인시처인구,64,119,8,9,김량장동
103,용인 기흥,경기도,용인시기흥구,62,120,9,9,기흥
104,용인 수지,경기도,용인시수지구,62,121,9,8,수지
105,파주,경기도,파주시,56,131,2,3,금촌동
106,이천,경기도,이천시,68,121,5,9,부발읍
107,안성,경기도,안성시,65,115,11,6,공도읍
108,김포,경기도,김포시,55,128,4,2,고촌읍
109,화성,경기도,화성시,57,119,10,3,남양읍
110,광주,경기도,광주시,65,123,7,9,경안동
111,양주,경기도,양주시,61,131,1,3,고읍
112,포천,경기도,포천시,64,134,1,6,선단동
113,여주,경기도,여주시,71,121,4,9,가남읍
114,연천,경기도,연천군,61,138,1,5,연천
115,가평,경기도,가평군,69,133,3,7,가평
116,양평,경기도,양평군,69,125,3,9,양평읍
117,청주 상당,충청북도,청주시상당구,69,106,14,7,가덕면
118,청주 서원,충청북도,청주시서원구,69,107,14,6,산남동
119,청주 흥덕,충청북도,청주시흥덕구,67,106,12,6,송정동(봉명동)
120,청주 청원,충청북도,청주시청원구,69,107,13,6,사천동
121,충주,충청북도,충주시,76,114,12,7,살미면
122,제천,충청북도,제천시,81,118,10,7,영천동
123,보은,충청북도,보은군,73,103,13,8,보은읍
124,옥천,충청북도,옥천군,71,99,15,6,옥천읍
125,영동,충청북도,영동군,74,97,15,7,영동읍
126,증평,충청북도,증평군,71,110,13,7,도안면
127,진천,충청북도,진천군,68,111,12,5,덕산읍
128,괴산,충청북도,괴산군,74,111,12,8,감물면
129,음성,충청북도,음성군,72,113,11,5,소이면
130,단양,충청북도,단양군,84,115,11,7,단성면
131,천안 동남,충청남도,천안시동남구,63,110,12,4,성황동
132,천안 서북,충청남도,천안시서북구,63,112,12,3,백석동
133,공주,충청남도,공주시,63,102,13,3,공주
134,보령,충청남도,보령시,54,100,13,1,대천2동
135,아산,충청남도,아산시,60,110,11,3,도고면
136,서산,충청남도,서산시,51,110,11,1,대산리
137,논산,충청남도,논산시,62,97,14,3,논산
138,계룡,충청남도,계룡시,65,99,14,4,엄사면
139,당진,충청남도,당진시,54,112,11,2,당진시청사
140,금산,충청남도,금산군,69,95,15,3,금산읍
141,부여,충청남도,부여군,59,99,14,2,부여읍
142,서천,충청남도,서천군,55,94,15,2,서면
143,청양,충청남도,청양군,57,103,13,2,정산면
144,홍성,충청남도,홍성군,55,106,12,1,내포
145,예산,충청남도,예산군,58,107,12,2,고덕면(충남)
146,태안,충청남도,태안군,48,109,11,0,원북면
147,전주 완산,전라북도,전주시완산구,63,89,19,3,노송동
148,전주 덕진,전라북도,전주시덕진구,63,89,18,3,송천동
149,군산,전라북도,군산시,56,92,16,2,비응도동
150,익산,전라북도,익산시,60,91,16,3,모현동
151,정읍,전라북도,정읍시,58,83,18,2,신태인
152,남원,전라북도,남원시,68,80,18,5,운봉읍
153,김제,전라북도,김제시,59,88,17,3,광활면
154,완주,전라북도,완주군,63,89,17,4,고산면
155,진안,전라북도,진안군,68,88,18,4,진안읍
156,무주,전라북도,무주군,72,93,16,5,무주읍
157,장수,전라북도,장수군,70,85,17,5,장수읍
158,임실,전라북도,임실군,66,84,19,4,관촌면
159,순창,전라북도,순창군,63,79,20,3,순창읍
160,고창,전라북도,고창군,56,80,18,1,고창읍
161,부안,전라북도,부안군,56,87,17,2,계화면
162,목포,전라남도,목포시,50,67,22,0,부흥동
163,여수,전라남도,여수시,73,66,22,5,덕충동
164,순천,전라남도,순천시,70,70,22,4,순천만
165,나주,전라남도,나주시,56,71,22,1,빛가람동
166,광양,전라남도,광양시,73,70,21,5,광양읍
167,담양,전라남도,담양군,61,78,20,2,담양읍
168,곡성,전라남도,곡성군,66,77,21,3,곡성읍
169,구례,전라남도,구례군,69,75,20,4,구례읍
170,고흥,전라남도,고흥군,66,62,23,4,고흥읍
171,보성,전라남도,보성군,62,66,24,3,벌교읍
172,화순,전라남도,화순군,61,72,21,4,화순읍
173,장흥,전라남도,장흥군,59,64,24,2,장흥읍
174,강진,전라남도,강진군,57,63,24,1,강진읍
175,해남,전라남도,해남군,54,61,23,0,해남읍
176,영암,전라남도,영암군,56,66,23,1,대불
177,무안,전라남도,무안군,52,71,21,1,무안읍
178,함평,전라남도,함평군,52,72,20,1,함평읍
179,영광,전라남도,영광군,52,77,19,1,영광읍
180,장성,전라남도,장성군,57,77,19,2,장성읍
181,완도,전라남도,완도군,57,56,25,2,신지면
182,진도,전라남도,진도군,48,59,24,0,진도읍
183,신안,전라남도,신안군,50,66,21,0,신안군
184,포항 남구,경상북도,포항시남구,102,94,11,12,3공단
185,포항 북구,경상북도,포항시북구,102,95,10,12,양덕동
186,경주,경상북도,경주시,100,91,12,12,보덕동
187,김천,경상북도,김천시,80,96,11,8,대광동
188,안동,경상북도,안동시,91,106,10,10,명륜동
189,구미,경상북도,구미시,84,96,11,9,4공단
190,영주,경상북도,영주시,89,111,8,10,가흥동
191,영천,경상북도,영천시,95,93,12,11,영천시
192,상주,경상북도,상주시,81,102,10,8,상주시
193,문경,경상북도,문경시,81,106,10,9,문경시
194,경산,경상북도,경산시,91,90,13,11,중방동
195,군위,경상북도,군위군,88,99,11,10,군위읍
196,의성,경상북도,의성군,90,101,11,11,안계면
197,청송,경상북도,청송군,96,103,10,11,청송읍
198,영양,경상북도,영양군,97,108,8,11,영양군
199,영덕,경상북도,영덕군,102,103,9,11,영덕읍
200,청도,경상북도,청도군,91,86,13,10,화양읍
201,고령,경상북도,고령군,83,87,13,9,대가야읍
202,성주,경상북도,성주군,83,91,12,9,성주군
203,칠곡,경상북도,칠곡군,85,93,12,10,칠곡군
204,예천,경상북도,예천군,86,107,9,10,예천군
205,봉화,경상북도,봉화군,90,113,7,11,봉화군청
206,울진,경상북도,울진군,102,115,6,11,울진군
207,울릉,경상북도,울릉군,127,127,8,13,울릉읍
208,창원 의창,경상남도,창원시의창구,90,77,19,7,명서동
209,창원 성산,경상남도,창원시성산구,91,76,20,8,사파동
210,창원 합포,경상남도,창원시마산합포구,89,76,20,6,월영동
211,창원 회원,경상남도,창원시마산회원구,89,76,20,7,내서읍
212,창원 진해,경상남도,창원시진해구,91,75,21,8,경화동
213,진주,경상남도,진주시,81,75,19,6,대안동
214,통영,경상남도,통영시,87,68,22,7,무전동
215,사천,경상남도,사천시,80,71,21,6,향촌동
216,김해,경상남도,김해시,95,77,20,9,동상동
217,밀양,경상남도,밀양시,92,83,17,8,내일동
218,거제,경상남도,거제시,90,69,22,8,고현동
219,양산,경상남도,양산시,97,79,19,8,물금읍
220,의령,경상남도,의령군,83,78,18,7,의령읍
221,함안,경상남도,함안군,86,77,19,5,가야읍
222,창녕,경상남도,창녕군,87,83,17,7,창녕읍
223,고성(경남),경상남도,고성군,85,71,21,7,고성읍
224,남해,경상남도,남해군,77,68,22,6,남해읍
225,하동,경상남도,하동군,74,73,20,5,금성면
226,산청,경상남도,산청군,76,80,18,6,산청읍
227,함양,경상남도,함양군,74,82,17,6,함양읍
228,거창,경상남도,거창군,77,86,16,6,거창읍
229,합천,경상남도,합천군,81,84,16,7,합천읍
230,제주,제주특별자치도,제주시,53,38,25,5,애월읍
231,서귀포,제주특별자치도,서귀포시,52,33,26,5,강정동
232,춘천,강원특별자치도,춘천시,73,134,1,8,신사우동
233,원주,강원특별자치도,원주시,76,122,5,10,문막읍
234,강릉,강원특별자치도,강릉시,92,131,3,11,옥천동
235,동해,강원특별자치도,동해시,97,127,4,11,천곡동
236,태백,강원특별자치도,태백시,95,119,7,10,황지동
237,속초,강원특별자치도,속초시,87,141,1,10,금호동
238,삼척,강원특별자치도,삼척시,98,125,5,11,남양동1
239,홍천,강원특별자치도,홍천군,75,130,2,8,홍천읍
240,횡성,강원특별자치도,횡성군,77,125,2,9,횡성읍
241,영월,강원특별자치도,영월군,86,119,6,10,영월읍
242,평창,강원특별자치도,평창군,84,123,3,10,평창읍
243,정선,강원특별자치도,정선군,89,123,4,10,정선읍
244,철원,강원특별자치도,철원군,65,139,0,7,갈말읍
245,화천,강원특별자치도,화천군,72,139,0,8,화천읍
246,양구,강원특별자치도,양구군,77,139,0,9,양구읍
247,인제,강원특별자치도,인제군,80,138,1,9,인제읍
248,고성(강원),강원특별자치도,고성군,85,145,0,10,상리
249,양양,강원특별자치도,양양군,88,138,2,10,양양읍
